INTERSTITIAL_Restart;Интрестишиал при ручном рестарте через паузу
BANNER;Стандартный баннер
REWARDED_VIDEO_Buy;Просмотр одного Видео за покупку чего-либо (например, скины персонажа, дороги)
INTERSTITIAL;Стандартный интрастишиал 
INTERSTITIAL_AutoRestart;Интрастишиал  после окончания авторестарата после смерти игрока
REWARDED_VIDEO;Стандартный RewardVideo
REWARDED_VIDEO_Daily_Reward;Просмотр видео для Награды через каждые 3 часа, в меню
REWARDED_VIDEO_TryTrack;Просмотр видео за один раз поиграть в  трэке, не покупая его
REWARDED_VIDEO_Double_Reward;Просмотр видео за двойную награду в результатах.
REWARDED_VIDEO_AutoResatart;Просмотр видео за авторестарт на 5 мин.
